Date,Name,Observation Cases
11/18/1999,Sirius Leonid Meteor,418
11/17/1998,,367
8/12/1997,,338
8/12/1993,,308
8/11/1997,,299
8/11/1993,,298
8/11/2004,,279
11/18/2001,,273
8/12/2010,,273
11/19/2002,,242
